价格,面积,编号,户型,楼层,朝向,位置1,位置2,小区,地铁
1090,12,43451-A,4室1卫,6/23层,南,洪山区,马房山,狮城翰园,"地铁：距8号线,11号线马房山站650米"
1140,10,18824-B,5室1卫,2/45层,南,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1320,14,142561-C,3室1卫,15/32层,南,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1190,13,144014-B,3室1卫,5/11层,南,洪山区,光谷软件园,芭比伦堡,地铁：距2号线金融港北站1850米
1200,13,44500-C,4室2卫,25/29层,南,洪山区,马房山,泓悦府,"地铁：距8号线,11号线马房山站700米"
1210,10,135453-A,3室1卫,14/31层,南,洪山区,珞雄路,康桥小区,地铁：距2号线珞雄路站600米
1330,18,54437-A,4室1卫,5/11层,南,洪山区,关山大道,保利花园,地铁：距11号线关山大道站300米
1210,12,26260-C,4室1卫,11/33层,南,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1110,11,131540-C,3室1卫,2/6层,南,洪山区,珞雄路,湖北中医小区,地铁：距2号线珞雄路站300米
1270,11,131303-C,4室1卫,52/55层,南,洪山区,华中科技大学,琨瑜府,地铁：距2号线华中科技大学站450米
1130,12,146029-A,5室1卫,10/18层,东,洪山区,关山大道,保利花园,地铁：距11号线关山大道站300米
1380,19,132069-D,4室1卫,15/32层,南,洪山区,关山大道,光谷新世界,地铁：距11号线关山大道站650米
1010,8,122148-C,4室1卫,3/6层,南,洪山区,关山大道,保利花园,地铁：距11号线关山大道站300米
1170,12,128772-A,3室1卫,8/26层,南,洪山区,光谷广场,洪福添美城市广场,"地铁：距2号线,11号线光谷广场站950米"
1230,17,130922-B,4室1卫,2/7层,南,洪山区,马房山,狮城公寓,"地铁：距8号线,11号线马房山站550米"
1210,16,53051-C,4室1卫,4/7层,南,洪山区,马房山,狮城公寓,"地铁：距8号线,11号线马房山站550米"
1300,17,21150-D,4室1卫,37/45层,南,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1300,18,130378-D,4室1卫,3/30层,南,洪山区,关山大道,光谷新世界,地铁：距11号线关山大道站650米
1190,15,66095-C,4室1卫,9/16层,南,洪山区,珞雄路,广厦华庭,地铁：距2号线珞雄路站550米
1040,11,27974-A,4室1卫,5/6层,南,洪山区,关山大道,金地阳光城小区,地铁：距11号线关山大道站1450米
1190,10,64410-C,3室1卫,8/18层,西,洪山区,关山大道,保利花园,地铁：距11号线关山大道站300米
1230,10,52530-D,4室1卫,3/28层,南,洪山区,光谷大道,光谷8号,地铁：距2号线光谷大道站300米
1250,13,26695-A,3室1卫,9/22层,南,武昌区,武昌火车站,凯旋名邸,"地铁：距4号线,7号线,11号线,12号线武昌火车站站850米"
1170,10,49077-B,3室1卫,16/26层,南,洪山区,光谷大道,SBI创业街,地铁：距2号线光谷大道站750米
1060,7,26208-A,3室1卫,7/28层,南,洪山区,关山大道,逸景华庭,地铁：距11号线关山大道站300米
1210,14,129705-C,3室1卫,5/7层,南,武昌区,瑞安街,江宏花园C区,地铁：距7号线瑞安街站250米
1260,16,55911-D,4室1卫,6/19层,南,洪山区,华中科技大学,常青藤名苑,地铁：距2号线华中科技大学站450米
1060,11,143908-A,4室1卫,4/7层,南,洪山区,虎泉,桂子花园一期,"地铁：距2号线,11号线虎泉站900米"
1120,9,25728-A,3室1卫,2/18层,东,洪山区,关山大道,保利花园,地铁：距11号线关山大道站300米
1060,11,143088-C,4室1卫,3/6层,南,洪山区,光谷广场,华城新都,"地铁：距2号线,11号线光谷广场站700米"
1160,11,154733-A,4室1卫,5/18层,东北,洪山区,关山大道,丽岛漫城,地铁：距11号线关山大道站900米
1040,12,128475-B,4室1卫,3/12层,南,洪山区,虎泉,学雅芳邻,"地铁：距2号线,11号线虎泉站800米"
1190,9,139071-A,3室1卫,11/33层,南,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1060,12,43432-B,4室1卫,10/12层,东南,洪山区,马房山,剑桥铭邸,"地铁：距8号线,11号线马房山站650米"
1160,11,48812-E,5室1卫,44/45层,东北,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1170,10,54489-A,3室1卫,22/31层,南,洪山区,光谷广场,金地中心城,地铁：距2号线杨家湾站1250米
1060,12,138784-B,3室1卫,6/13层,西,洪山区,洪山区政府,狮城风华新都,地铁：距8号线洪山区政府站750米
1060,8,145671-C,4室1卫,12/30层,南,洪山区,关山大道,万科锦程,地铁：距11号线关山大道站500米
1320,16,18830-A,4室1卫,31/32层,南,洪山区,光谷软件园,金地格林东郡,地铁：距11号线关山大道站1450米
1380,17,26455-D,4室1卫,31/34层,南,洪山区,光谷软件园,金地格林东郡,地铁：距11号线关山大道站1450米
1080,10,145658-B,4室1卫,27/32层,南,洪山区,光谷广场,金地中心城,地铁：距2号线杨家湾站1250米
1190,10,64945-A,3室1卫,9/16层,东北,洪山区,关山大道,光谷智慧城,地铁：距11号线关山大道站550米
1200,14,15765-B,4室1卫,12/26层,南,洪山区,光谷广场,新域柠檬特区,"地铁：距2号线,11号线光谷广场站250米"
1240,12,134073-D,4室1卫,12/33层,南,洪山区,光谷广场,金地中心城,地铁：距2号线杨家湾站1250米
1450,18,54570-C,4室1卫,5/7层,南,洪山区,关山大道,当代曙光嘉园,地铁：距11号线关山大道站1400米
1150,14,56854-C,4室1卫,4/7层,南,武昌区,瑞安街,江宏花园a区,地铁：距7号线瑞安街站50米
1000,17,132184-C,4室1卫,5/6层,南,洪山区,虎泉,桂子花园-二期,"地铁：距2号线,11号线虎泉站1100米"
1350,16,17665-D,4室1卫,25/34层,南,洪山区,光谷软件园,金地格林东郡,地铁：距11号线关山大道站1450米
